Actual,Predicted
74.06999969482422,76.20512
75.95999908447266,78.147606
76.1999969482422,79.55024
71.2300033569336,79.97404
77.52999877929689,75.59966
72.06999969482422,81.55822
73.66000366210938,76.04536
71.33999633789062,78.017204
69.51000213623047,75.38381
70.05000305175781,73.73247
70.20999908447266,73.937225
74.0999984741211,73.85314
76.3499984741211,77.46625
76.55000305175781,79.635185
76.44000244140625,80.2711
78.95999908447266,80.51252
77.13999938964845,82.97785
78.16999816894533,81.26836
78.5199966430664,82.4363
77.72000122070314,82.56356
78.18000030517578,81.84611
79.01000213623048,82.26169
77.6999969482422,82.93159
79.83000183105469,81.71387
79.87000274658205,83.77893
78.27999877929689,83.698074
80.5999984741211,82.41246
79.9499969482422,84.62192
80.31999969482422,83.867836
82.00000000000001,84.42615
78.04000091552734,85.965515
78.5999984741211,82.294365
85.87000274658205,82.98794
86.01000213623048,89.43844
85.41999816894533,89.53887
89.08999633789064,89.74645
86.19000244140625,93.39244
91.16000366210938,90.620514
94.88999938964845,95.719124
97.33000183105469,98.895096
100.73000335693361,101.64548
98.79000091552736,105.286964
99.4499969482422,103.69662
112.5,104.79409
108.58000183105469,117.11592
108.66000366210938,112.844955
111.12000274658205,114.600586
115.44000244140625,116.589966
110.1800003051758,120.68791
109.45999908447267,115.550575
106.79499816894533,115.567245
105.9499969482422,112.34498
102.16000366210938,111.44344
100.3499984741211,107.373474
99.06999969482422,105.59284
99.6999969482422,103.94475
99.6999969482422,104.36352
101.91999816894533,104.22243
101.11000061035156,106.50128
102.80999755859376,105.78456
101.80999755859376,107.81934
104.83999633789064,106.83164
102.47000122070312,110.03553
101.05000305175781,107.5773
99.0199966430664,106.64855
97.5,104.4661
95.48999786376953,102.85387
100.02999877929689,100.64345
99.30000305175781,104.77882
93.66000366210938,103.69921
87.41000366210938,98.85374
89.00000000000001,93.0453
85.37000274658205,94.051125
85.9499969482422,89.81295
91.13999938964845,90.417984
88.37000274658205,94.95626
86.98999786376953,92.38279
87.58999633789064,91.766014
99.44000244140625,92.233055
96.45999908447266,103.411514
94.0199966430664,100.394806
96.1999969482422,99.509384
97.48000335693361,101.48597
92.23999786376953,102.39886
95.05999755859376,97.46843
96.0,100.3125
95.55999755859376,100.511024
98.0999984741211,100.26044
99.48000335693361,102.76621
103.02999877929689,104.017395
111.98000335693361,107.69196
110.4300003051758,116.43231
106.51000213623048,115.08119
103.45999908447266,112.527885
103.8499984741211,109.650505
104.26000213623048,109.615814
105.11000061035156,109.41802
103.08000183105469,110.07457
104.08999633789064,108.06379
105.4300003051758,109.21112
110.37999725341797,110.268906
107.41000366210938,115.14405
110.58999633789064,112.29368
106.55999755859376,116.163216
105.5999984741211,111.88185
103.61000061035156,111.50922
101.20999908447266,109.101616
102.2699966430664,106.67955
102.87999725341797,107.43219
105.08999633789064,107.655975
111.5999984741211,109.859215
107.13999938964844,116.19701
107.01000213623048,112.0071
105.13999938964844,112.95529
103.86000061035156,110.739105
103.79000091552736,109.54011
103.44000244140625,109.17866
102.0,108.61264
101.41000366210938,107.16563
104.45999908447266,106.58714
107.88999938964844,109.37623
108.8499984741211,112.52564
106.1800003051758,113.72302
107.97000122070312,111.616066
111.62000274658205,113.66352
110.30999755859376,116.83807
111.45999908447267,115.58248
125.58999633789064,117.157265
125.0,130.75673
122.12999725341797,129.55328
121.0699996948242,128.63342
121.88999938964844,127.78278
122.69000244140625,128.32237
117.30999755859376,128.72408
125.66999816894531,123.34857
128.32000732421875,131.81854
129.05999755859375,133.18268
132.67999267578125,134.82576
132.89999389648438,138.73967
141.00999450683594,138.95866
143.69000244140625,147.5295
163.3300018310547,149.57715
164.00999450683594,170.34624
166.61000061035156,169.31664
153.1999969482422,175.16858
147.9199981689453,161.16101
